run_accession	biome_class	biome_subclass	biome	accession	sample_accession	sample_name	longitude	latitude	geo_loc_name	geo_loc_name_1	studies	sample_desc	environment_biome	environment_feature	environment_material	study_accession	experiment_accession	read_count	instrument_model	instrument_platform	library_layout	library_strategy	library_selection	library_source	fastq_ftp	query_biome
ERR5954424	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482543	SAMEA8798199	11-544	-125.0403	54.0356	NA	Canada	MGYS00003941	11-544	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594945	90875506	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954424/ERR5954424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954424/ERR5954424_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954412	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482531	SAMEA8798187	11-495	-122.075	52.1188	NA	Canada	MGYS00003941	11-495	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594933	83482402	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954412/ERR5954412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954412/ERR5954412_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954408	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482527	SAMEA8798183	11-485	-125.9138	53.8101	NA	Canada	MGYS00003941	11-485	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594929	77765422	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954408/ERR5954408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954408/ERR5954408_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954400	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482519	SAMEA8798175	11-471	-126.9247	54.6569	NA	Canada	MGYS00003941	11-471	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594921	75477048	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954400/ERR5954400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954400/ERR5954400_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954401	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482520	SAMEA8798176	11-476	-125.7577	54.077	NA	Canada	MGYS00003941	11-476	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594922	89752070	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5954401/ERR5954401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5954401/ERR5954401_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954428	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482547	SAMEA8798203	11-595	-117.6585	49.6765	NA	Canada	MGYS00003941	11-595	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594949	91844048	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954428/ERR5954428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954428/ERR5954428_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954410	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482529	SAMEA8798185	11-492	-123.0078	54.0645	NA	Canada	MGYS00003941	11-492	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594931	81435984	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954410/ERR5954410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954410/ERR5954410_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954414	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482533	SAMEA8798189	11-499	-123.8875	51.4736	NA	Canada	MGYS00003941	11-499	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594935	92408250	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954414/ERR5954414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954414/ERR5954414_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954423	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482542	SAMEA8798198	11-542	-124.4824	55.1316	NA	Canada	MGYS00003941	11-542	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594944	96667694	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954423/ERR5954423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954423/ERR5954423_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954419	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482538	SAMEA8798194	11-538	-126.0233	54.3986	NA	Canada	MGYS00003941	11-538	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594940	93933374	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5954419/ERR5954419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5954419/ERR5954419_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954429	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482548	SAMEA8798204	11-631	-122.4208	52.9494	NA	Canada	MGYS00003941	11-631	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594950	90221658	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5954429/ERR5954429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5954429/ERR5954429_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954426	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482545	SAMEA8798201	11-547	-123.4887	53.6075	NA	Canada	MGYS00003941	11-547	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594947	84319176	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954426/ERR5954426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954426/ERR5954426_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954427	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482546	SAMEA8798202	11-556	-121.3522	51.7341	NA	Canada	MGYS00003941	11-556	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594948	84750510	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5954427/ERR5954427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5954427/ERR5954427_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954405	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482524	SAMEA8798180	11-482	-124.7553	53.8754	NA	Canada	MGYS00003941	11-482	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594926	75112842	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5954405/ERR5954405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5954405/ERR5954405_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954404	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482523	SAMEA8798179	11-481	-124.8892	53.5987	NA	Canada	MGYS00003941	11-481	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594925	78803678	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954404/ERR5954404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954404/ERR5954404_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954417	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482536	SAMEA8798192	11-508	-120.3889	51.8328	NA	Canada	MGYS00003941	11-508	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594938	93264610	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5954417/ERR5954417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/007/ERR5954417/ERR5954417_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954425	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482544	SAMEA8798200	11-545	-124.7772	54.0514	NA	Canada	MGYS00003941	11-545	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594946	82529924	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5954425/ERR5954425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5954425/ERR5954425_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954422	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482541	SAMEA8798197	11-541	-125.1966	55.1208	NA	Canada	MGYS00003941	11-541	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594943	87418352	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954422/ERR5954422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954422/ERR5954422_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954413	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482532	SAMEA8798188	11-497	-122.173	52.0006	NA	Canada	MGYS00003941	11-497	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594934	82152598	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954413/ERR5954413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954413/ERR5954413_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954402	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482521	SAMEA8798177	11-477	-125.0617	54.2425	NA	Canada	MGYS00003941	11-477	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594923	92955706	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954402/ERR5954402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954402/ERR5954402_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954420	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482539	SAMEA8798195	11-539	-124.1918	53.9575	NA	Canada	MGYS00003941	11-539	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594941	86195320	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954420/ERR5954420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954420/ERR5954420_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954406	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482525	SAMEA8798181	11-483	-125.4287	54.1862	NA	Canada	MGYS00003941	11-483	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594927	86290422	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954406/ERR5954406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954406/ERR5954406_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954403	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482522	SAMEA8798178	11-479	-124.5458	53.428	NA	Canada	MGYS00003941	11-479	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594924	90952424	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954403/ERR5954403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954403/ERR5954403_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954418	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Montane cordillera	root:Environmental:Aquatic:Freshwater:Lake	ERS6482537	SAMEA8798193	11-513	-122.6263	53.0351	NA	Canada	MGYS00003941	11-513	montane cordillera	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594939	79019068	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954418/ERR5954418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954418/ERR5954418_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954430	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482549	SAMEA8798205	12-460	-122.3108	49.0447	NA	Canada	MGYS00003941	12-460	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594951	80828928	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954430/ERR5954430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954430/ERR5954430_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954434	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482553	SAMEA8798209	12-465	-122.9814	50.114	NA	Canada	MGYS00003941	12-465	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594955	85579460	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954434/ERR5954434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5954434/ERR5954434_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954432	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482551	SAMEA8798207	12-462	-122.9718	49.2362	NA	Canada	MGYS00003941	12-462	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594953	83917242	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954432/ERR5954432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954432/ERR5954432_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954451	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482570	SAMEA8798226	12-650	-123.8117	49.07	NA	Canada	MGYS00003941	12-650	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594972	77862696	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5954451/ERR5954451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/001/ERR5954451/ERR5954451_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954442	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482561	SAMEA8798217	12-534	-129.335	55.4462	NA	Canada	MGYS00003941	12-534	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594963	95850656	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954442/ERR5954442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954442/ERR5954442_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954440	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482559	SAMEA8798215	12-504	-122.0203	49.4431	NA	Canada	MGYS00003941	12-504	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594961	96234200	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954440/ERR5954440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954440/ERR5954440_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954449	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482568	SAMEA8798224	12-648	-123.6624	48.7996	NA	Canada	MGYS00003941	12-648	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594970	86375454	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5954449/ERR5954449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5954449/ERR5954449_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954446	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482565	SAMEA8798221	12-643	-123.5225	48.4374	NA	Canada	MGYS00003941	12-643	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594967	87114956	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954446/ERR5954446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954446/ERR5954446_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954433	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482552	SAMEA8798208	12-463	-124.0228	49.6472	NA	Canada	MGYS00003941	12-463	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594954	97139334	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954433/ERR5954433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954433/ERR5954433_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954453	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482572	SAMEA8798228	12-663	-127.4007	50.4504	NA	Canada	MGYS00003941	12-663	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594974	87937888	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954453/ERR5954453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954453/ERR5954453_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954450	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482569	SAMEA8798225	12-649	-123.7206	48.9083	NA	Canada	MGYS00003941	12-649	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594971	80835570	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954450/ERR5954450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5954450/ERR5954450_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954438	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482557	SAMEA8798213	12-474	-128.5597	54.3813	NA	Canada	MGYS00003941	12-474	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594959	89228258	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954438/ERR5954438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5954438/ERR5954438_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954456	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482575	SAMEA8798231	12-671	-124.0551	49.2147	NA	Canada	MGYS00003941	12-671	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594977	69476402	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954456/ERR5954456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5954456/ERR5954456_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954443	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482562	SAMEA8798218	12-535	-129.3696	55.4549	NA	Canada	MGYS00003941	12-535	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594964	76988330	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954443/ERR5954443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5954443/ERR5954443_2.fastq.gz	root:Environmental:Aquatic:Freshwater
ERR5954452	root:Environmental:Aquatic:Freshwater	root:Environmental:Aquatic:Freshwater:Lake:Pacific maritime	root:Environmental:Aquatic:Freshwater:Lake	ERS6482571	SAMEA8798227	12-657	-124.0608	49.2307	NA	Canada	MGYS00003941	12-657	pacific maritime	Envo:00000020	Envo:00002011	PRJEB29238	ERX5594973	71281018	Illumina NovaSeq 6000	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954452/ERR5954452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5954452/ERR5954452_2.fastq.gz	root:Environmental:Aquatic:Freshwater
